 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-08  9.99995000e-12  9.99995000e-08 
 1.08400028e-08  1.09164358e-11  1.09105087e-07 
 1.25200084e-08  1.29142359e-11  1.28727462e-07 
 1.58800196e-08  1.80410564e-11  1.76439412e-07 
 2.26000420e-08  3.42420712e-11  3.05732039e-07 
 3.60400868e-08  1.01813488e-10  6.99791640e-07 
 5.49173309e-08  3.14945626e-10  1.55829367e-06 
 8.41565070e-08  1.06781814e-09  3.59145824e-06 
 1.26226274e-07  3.50958357e-09  8.01671349e-06 
 1.90630594e-07  1.19582967e-08  1.82197664e-05 
 2.85720074e-07  4.00506279e-08  4.08663303e-05 
 4.29938788e-07  1.36196595e-07  9.24672222e-05 
 6.44881326e-07  4.59073147e-07  2.07963353e-04 
 9.69175629e-07  1.55776032e-06  4.69623124e-04 
 1.00000000e-06  1.70719503e-06  4.99964947e-04 
 1.04853028e-06  1.97337482e-06  5.48481906e-04 
 1.14559083e-06  2.55282409e-06  6.45513467e-04 
 1.33971194e-06  3.99424702e-06  8.39562443e-04 
 1.72795416e-06  8.00705306e-06  1.22760379e-03 
 2.50443861e-06  2.05514065e-05  2.00345991e-03 
 4.05740749e-06  6.37062718e-05  3.55426450e-03 
 7.16334526e-06  2.22209997e-04  6.65223268e-03 
 1.33752208e-05  8.27425393e-04  1.28335214e-02 
 2.57989719e-05  3.18609734e-03  2.51368458e-02 
 5.06464740e-05  1.24589508e-02  4.95012682e-02 
 1.00341478e-04  4.89157525e-02  9.72209316e-02 
 1.99731487e-04  1.90817564e-01  1.88324495e-01 
 3.98511504e-04  7.27022999e-01  3.51171822e-01 
 7.96071538e-04  2.59630716e+00  5.89206485e-01 
 1.44825029e-03  6.86391543e+00  7.19517014e-01 
 2.22825029e-03  1.17382600e+01  5.30314940e-01 
 3.00825029e-03  1.44163670e+01  1.56379141e-01 
 3.78825029e-03  1.43245389e+01 -1.79924788e-01 
 4.53599351e-03  1.23992258e+01 -3.35041605e-01 
 5.31599351e-03  9.91747312e+00 -3.01305230e-01 
 6.09599351e-03  8.19148684e+00 -1.41255354e-01 
 6.87599351e-03  7.78198342e+00  3.62544765e-02 
 7.61933221e-03  8.44837081e+00  1.43041286e-01 
 8.37266988e-03  9.58944478e+00  1.59896959e-01 
 9.15266988e-03  1.06079936e+01  1.01269417e-01 
 9.93266988e-03  1.10570693e+01  1.38781811e-02 
 1.07126699e-02  1.08987212e+01 -5.44802462e-02 
 1.14634574e-02  1.04002125e+01 -7.83159723e-02 
 1.22434574e-02  9.85637076e+00 -6.11306325e-02 
 1.30234574e-02  9.53484532e+00 -2.13117879e-02 
 1.38034574e-02  9.51648596e+00  1.66042599e-02 
 1.45499782e-02  9.71157863e+00  3.56629171e-02 
 1.53299782e-02  9.98320548e+00  3.39849941e-02 
 1.61099782e-02  1.01837785e+01  1.74439723e-02 
 1.68899782e-02  1.02432823e+01 -2.18658572e-03 
 1.76319484e-02  1.01804085e+01 -1.47611961e-02 
 1.83841857e-02  1.00584986e+01 -1.76514378e-02 
 1.91641857e-02  9.94308286e+00 -1.19423287e-02 
 1.99441857e-02  9.88678714e+00 -2.49247262e-03 
 2.07241857e-02  9.89792073e+00  5.34724055e-03 
 2.14736811e-02  9.94969660e+00  8.46895264e-03 
 2.22536811e-02  1.00100931e+01  7.01732912e-03 
 2.30336811e-02  1.00484457e+01  2.81668187e-03 
 2.38136811e-02  1.00538150e+01 -1.43994995e-03 
 2.45588885e-02  1.00344409e+01 -3.75969500e-03 
 2.53388885e-02  1.00048941e+01 -3.81641867e-03 
 2.61188885e-02  9.98169103e+00 -2.13308493e-03 
 2.68988885e-02  9.97347451e+00  2.62852731e-05 
 2.76393240e-02  9.97912118e+00  1.49894390e-03 
 2.83904881e-02  9.99202700e+00  1.93727549e-03 
 2.91704881e-02  1.00050447e+01  1.40059475e-03 
 2.99504881e-02  1.00120153e+01  3.86728687e-04 
 3.07304881e-02  1.00115412e+01 -5.08273129e-04 
 3.14786334e-02  1.00062415e+01 -9.08490472e-04 
 3.22586334e-02  9.99957170e+00 -8.01715494e-04 
 3.30386334e-02  9.99502631e+00 -3.63768766e-04 
 3.38186334e-02  9.99404316e+00  1.11679034e-04 
 3.45624103e-02  9.99591466e+00  3.91561364e-04 
 3.53161331e-02  9.99900512e+00  4.28492018e-04 
 3.60961331e-02  1.00017108e+01  2.65283124e-04 
 3.68761331e-02  1.00028606e+01  2.95133334e-05 
 3.76557913e-02  1.00023859e+01 -1.51275056e-04 
 3.84069996e-02  1.00010242e+01 -2.11270748e-04 
 3.90000000e-02  9.99986499e+00 -1.79676040e-04 
